,Unnamed: 0,team_id,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlayPositioningClass_Free Form,buildUpPlayPositioningClass_Organised,chanceCreationPositioningClass_Free Form,chanceCreationPositioningClass_Organised,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,buildUpPlayDribbling,cluster,next_date,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot_right,preferred_foot_left,attacking_work_rate_medium,attacking_work_rate_high,attacking_work_rate_low,defensive_work_rate_medium,defensive_work_rate_high,defensive_work_rate_low,height,weight
0,0,9930,2010-02-22,60,50,60,65,55,50,55,45,0,1,0,1,1,0,44.5,6,2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9930,2014-09-19,52,56,54,63,64,47,44,54,0,1,0,1,1,0,44.5,4,2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,9930,2015-09-10,47,54,54,63,64,47,44,54,0,1,0,1,1,0,44.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,8485,2010-02-22,70,70,70,70,70,60,70,70,0,1,0,1,1,0,64.0,5,2011-02-22,65.02703349282297,71.3,49.68181818181819,41.99904306220096,56.96124401913875,54.77153110047848,39.80622009569377,51.44282296650717,44.91483253588517,42.637081339712914,51.57535885167464,57.27488038277512,65.52846889952154,67.04138755980861,61.47942583732057,58.552631578947356,63.67535885167462,55.46937799043062,66.72535885167467,69.14593301435404,68.23684210526316,43.24569377990431,54.961961722488034,50.55956937799043,46.95526315789473,55.97703349282296,46.87224880382775,46.34808612440192,50.51602870813397,44.965311004784695,15.632057416267946,19.072727272727274,27.55980861244019,19.600239234449763,18.55526315789474,77.10526315789474,22.894736842105264,0.7206244778613201,0.23315295815295808,0.15380116959064324,0.7937447786131997,0.19366151866151862,0.112037037037037,182.12583200425306,163.4189261031366
4,4,8485,2011-02-22,47,52,53,48,52,47,47,52,0,1,0,1,1,0,64.0,3,2012-02-22,63.59477272727273,68.94181818181819,49.478863636363634,40.122727272727275,57.42704545454545,56.282500000000006,33.683181818181815,50.868863636363635,43.27045454545454,41.79386363636364,50.3125,57.69318181818181,65.58931818181819,65.5409090909091,60.49000000000001,57.58522727272727,63.37840909090909,51.28840909090909,65.11818181818182,69.22045454545454,69.34159090909091,40.971363636363634,58.48022727272728,47.30886363636364,43.97113636363636,53.31522727272727,44.48659090909091,45.263636363636365,48.07295454545455,44.39090909090909,14.567272727272728,16.091136363636366,13.990454545454545,15.988181818181818,14.123409090909092,66.993006993007,33.00699300699301,0.7891155141155141,0.1169472502805836,0.1084971334971335,0.8527648277648279,0.18422619047619046,0.11676767676767674,181.28480303030304,164.7469696969697
5,5,8485,2012-02-22,58,62,45,70,55,40,40,60,0,1,0,1,1,0,64.0,4,2013-09-20,63.293223140495876,67.18644628099173,48.0287603305785,41.73735537190081,54.17619834710745,56.29520661157024,36.35917355371901,53.48925619834711,39.53933884297521,42.15190082644627,52.46859504132231,58.31338842975205,62.910082644628105,64.10165289256199,64.36264462809916,59.927438016528924,63.728429752066106,49.793884297520655,68.4299173553719,67.11735537190081,68.78479338842975,40.40462809917355,57.16611570247934,49.131074380165295,43.85140495867768,54.138512396694225,45.266611570247946,45.48528925619834,49.26181818181818,44.74611570247934,14.502644628099173,15.60429752066116,13.366115702479341,15.94396694214876,14.957355371900828,57.84511784511784,42.15488215488216,0.7555181444070334,0.1592111592111592,0.13862024500322373,0.8600261878039656,0.09928451178451175,0.13988533988533988,181.77464517906333,160.8145867768595
6,6,8485,2013-09-20,62,45,40,50,55,42,42,60,0,1,0,1,1,0,64.0,3,2014-09-19,64.37100737100738,68.1916461916462,51.090909090909086,46.47911547911548,54.27518427518427,58.82063882063883,40.42014742014742,56.80589680589681,43.84029484029483,46.825552825552826,52.742014742014746,60.34398034398036,65.03931203931205,67.3120393120393,66.73464373464371,60.50614250614251,68.02211302211302,51.970515970515976,71.23587223587225,68.17444717444718,67.09090909090911,46.83046683046683,58.5061425061425,47.014742014742005,45.8992628992629,52.189189189189186,49.91154791154792,46.95085995085994,48.530712530712535,44.9017199017199,14.68058968058968,16.746928746928745,13.363636363636365,15.194103194103192,15.395577395577396,56.631176631176615,43.36882336882337,0.7082446082446081,0.1749206349206349,0.1335064935064935,0.8325689325689326,0.10517676767676765,0.10881895881895878,180.1631777231777,158.98634998634998
7,7,8485,2014-09-19,58,62,56,68,57,41,42,60,0,1,0,1,1,0,64.0,4,2015-09-10,65.19856459330144,67.57416267942583,51.277511961722496,47.67703349282297,54.67224880382776,59.79904306220096,41.26794258373206,58.24880382775118,46.193779904306226,47.27751196172248,52.275119617224874,61.12200956937797,69.86124401913875,72.22966507177033,70.27033492822967,61.071770334928225,70.34449760765548,54.24641148325359,72.85885167464114,71.66267942583733,66.54066985645935,48.02631578947368,56.73684210526316,47.44736842105262,46.389952153110045,51.58373205741626,50.42583732057417,46.811004784689,48.071770334928225,44.50956937799043,14.602870813397132,16.739234449760765,13.473684210526319,15.246411483253588,15.35167464114832,63.516746411483226,36.48325358851674,0.666267942583732,0.24330143540669857,0.09818181818181818,0.7361244019138755,0.1409090909090909,0.14155844155844155,179.55612440191388,160.92690058479533
8,8,8485,2015-09-10,59,53,51,72,63,49,45,63,0,1,1,0,1,0,64.0,4,,67.29201101928375,69.86776859504133,52.64738292011019,44.11570247933884,54.16528925619835,61.84297520661157,40.162534435261705,59.468319559228654,50.07162534435262,48.60606060606061,54.58953168044077,62.57024793388429,70.47382920110192,71.74655647382922,69.79063360881543,63.55371900826446,69.93388429752065,53.545454545454554,69.03856749311295,72.38567493112947,67.267217630854,46.20661157024794,57.79614325068871,50.39118457300276,46.443526170798904,54.06060606060606,48.619834710743795,48.73278236914601,50.57300275482093,47.15151515151515,15.581267217630852,16.71900826446281,14.581267217630854,16.28650137741047,15.804407713498621,58.92868074686257,41.071319253137425,0.5075298438934802,0.4836547291092746,0.09696969696969697,0.4531374349556168,0.47165595347413525,0.13062200956937797,179.40547903275177,160.65105601469236
9,9,8576,2010-02-22,60,40,45,35,55,30,70,30,0,1,0,1,0,1,57.0,3,2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
